ID,AvailableHours,SkillLevel,Skills
281,18,7,"C"
282,7,7,"A B C"
283,11,1,"A B C"
284,15,7,"A B C"
285,10,5,"A B C"
286,16,7,"A B"
287,16,7,"A B C"
288,16,2,"A B"
289,12,1,"B C"
290,11,9,"C"
291,12,9,"A B C"
292,14,7,"A B C"
293,18,1,"A B C"
294,18,4,"C"
295,8,1,"B"
296,17,4,"B C"
297,18,8,"B C"
298,12,9,"C"
299,7,4,"A B"
300,12,7,"B"
301,10,5,"A B"
302,7,3,"A B C"
303,13,8,"A B C"
304,18,4,"C"
305,12,3,"C"
306,16,3,"B C"
307,10,7,"B"
308,10,8,"A C"
309,19,7,"B"
310,15,3,"C"
311,17,3,"A C"
312,18,1,"C"
313,13,3,"B C"
314,11,1,"A B C"
315,7,1,"A B"
316,8,2,"A B C"
317,19,8,"B"
318,11,3,"A C"
319,15,5,"B C"
320,9,1,"B C"
321,19,6,"C"
322,10,5,"A"
323,18,1,"A B C"
324,18,9,"A"
325,16,9,"B C"
326,11,2,"A B C"
327,19,6,"A B C"
328,7,2,"A C"
329,19,9,"A B C"
330,18,9,"B C"
331,16,3,"B"
332,15,2,"A B C"
333,18,8,"A B C"
334,13,4,"B"
335,9,3,"A C"
336,12,1,"B"
337,9,6,"A B C"
338,8,8,"B"
339,9,9,"B"
340,10,5,"B C"
341,18,8,"B"
342,19,5,"A B C"
343,11,9,"A B C"
344,10,9,"A C"
345,12,2,"A"
346,16,2,"A B C"
347,11,1,"C"
348,12,7,"B"
349,17,6,"A B C"
350,17,2,"A"
351,8,3,"A B"
352,14,4,"A B C"
353,16,9,"C"
354,18,7,"A B"
355,17,5,"A B C"
356,16,2,"A B C"
357,17,1,"A B C"
358,9,6,"C"
359,10,6,"B C"
360,10,5,"B"
361,14,9,"B"
362,19,7,"B"
363,7,5,"A"
364,12,5,"A B"
365,12,9,"A B C"
366,8,9,"A B C"
367,17,5,"A B"
368,15,5,"C"
369,19,5,"A B C"
370,11,8,"A B C"
371,11,3,"C"
372,15,7,"B"
373,14,1,"A B C"
374,7,2,"A B C"
375,18,4,"B"
376,14,6,"A B C"
377,14,8,"A B"
378,11,3,"A B C"
379,16,3,"C"
380,18,4,"A B C"
381,11,9,"A B"
382,16,7,"A"
383,10,2,"A B C"
384,12,6,"A"
385,9,8,"A"
386,11,7,"C"
387,13,9,"A B C"
388,13,8,"B"
389,7,2,"A C"
390,19,8,"A"
391,14,9,"C"
392,15,6,"A B C"
393,11,6,"B"
394,16,2,"A"
395,12,6,"B"
396,12,5,"B"
397,17,5,"A B C"
398,10,4,"B"
399,18,9,"A B C"
400,13,5,"A B C"
401,15,2,"A B C"
402,15,8,"A C"
403,8,8,"A B"
404,12,7,"A B C"
405,19,1,"A"
406,9,3,"B C"
407,10,3,"A B C"
408,8,4,"A B"
409,17,3,"C"
410,17,5,"B"
411,7,9,"A B"
412,19,1,"B C"
413,15,8,"B C"
414,7,3,"A B"
415,13,1,"A C"
416,9,2,"A"
417,15,8,"C"
418,7,3,"A B C"
419,11,8,"A"
420,12,4,"A B C"
421,7,6,"A"
422,13,4,"A B C"
423,9,8,"A B C"
424,19,2,"B C"
425,15,4,"A C"
426,16,7,"B"
427,12,5,"A C"
428,15,5,"A B C"
429,14,2,"B"
430,15,1,"A B C"
431,11,3,"C"
432,10,5,"A C"
433,13,9,"B"
434,7,3,"A B C"
435,8,9,"B"
436,12,5,"A B"
437,16,1,"B C"
438,7,2,"A B C"
439,9,1,"A B C"
440,9,4,"A C"
441,18,5,"A B C"
442,18,8,"A B C"
443,13,4,"A B C"
444,16,1,"B"
445,12,9,"C"
446,13,6,"A"
447,11,4,"B"
448,8,7,"B"
449,16,2,"A C"
450,7,8,"A C"
451,8,3,"B C"
452,10,6,"A B"
453,12,8,"B"
454,7,2,"C"
455,9,8,"B"
456,18,7,"B"
457,14,1,"A"
458,9,8,"A"
459,9,1,"A B C"
460,12,4,"A C"
461,9,9,"B"
462,10,6,"A B"
463,11,7,"A B C"
464,19,4,"A"
465,7,8,"B C"
466,17,2,"A B C"
467,8,4,"A B C"
468,16,5,"C"
469,15,3,"A C"
470,13,3,"A B"
471,7,1,"A C"
472,11,4,"A B C"
473,10,8,"A B C"
474,17,2,"A C"
475,7,9,"A C"
476,9,4,"C"
477,12,1,"A B C"
478,8,1,"A B C"
479,18,2,"A B"
480,8,5,"A B C"
481,11,8,"A B C"
482,9,6,"A"
483,12,1,"A B C"
484,13,2,"A"
485,9,5,"A B C"
486,18,1,"A B C"
487,18,9,"A"
488,10,2,"A C"
489,9,4,"A B C"
490,14,3,"A C"
491,18,8,"C"
492,7,5,"A C"
493,8,6,"A B C"
494,10,2,"A B C"
495,19,5,"B C"
496,10,8,"A C"
497,12,6,"A C"
498,10,5,"B C"
499,14,8,"A B C"
