ID,EstimatedTime,Difficulty,Deadline,RequiredSkill
144,7,8,20,C
145,1,2,23,C
146,4,8,26,A
147,9,7,20,A
148,3,6,11,C
149,7,2,15,B
150,4,4,21,C
151,6,7,25,A
152,2,1,3,A
153,2,1,27,C
154,8,1,14,A
155,3,9,20,A
156,4,9,1,A
157,7,4,20,B
158,3,7,28,B
159,7,3,4,A
160,2,7,4,B
161,7,1,22,B
162,3,9,14,B
163,4,6,3,B
164,1,9,28,A
165,5,3,3,B
166,7,6,19,A
167,9,2,4,B
168,7,4,28,C
169,7,2,4,B
170,3,9,16,C
171,7,3,25,C
172,3,4,11,B
173,9,2,3,C
174,7,5,15,A
175,2,2,22,B
176,4,3,1,B
177,6,8,9,C
178,7,9,23,C
179,7,9,6,C
180,9,4,25,A
181,4,2,3,C
182,7,5,20,C
183,5,1,15,A
184,5,2,14,A
185,7,9,29,B
186,1,3,13,C
187,9,8,2,C
188,9,1,1,C
189,7,2,2,C
190,1,9,22,C
191,9,9,20,A
192,8,6,11,A
193,7,7,10,A
194,9,7,25,A
195,7,1,26,C
196,7,5,4,C
197,1,9,2,C
198,3,9,9,C
199,3,5,23,C
200,9,3,4,B
201,5,1,14,B
202,9,6,13,B
203,9,4,13,B
204,2,3,17,C
205,8,9,19,C
206,3,1,23,C
207,4,4,17,C
208,1,5,4,B
209,3,5,1,C
210,1,4,10,A
211,1,2,11,C
212,3,4,5,A
213,2,6,15,C
214,1,9,5,B
215,6,5,6,C
216,1,3,28,A
217,9,2,25,A
218,8,7,3,B
219,2,5,12,B
220,2,7,10,B
221,8,7,21,B
222,1,5,21,B
223,5,5,27,A
224,1,6,22,C
225,8,1,29,A
226,2,8,15,B
227,5,3,20,B
228,5,3,20,A
229,6,9,24,B
230,2,4,12,A
231,9,3,12,B
232,2,7,25,B
233,5,3,28,A
234,8,8,6,C
235,9,9,12,A
236,4,5,4,C
237,9,2,28,A
238,8,5,1,C
239,3,4,7,A
240,9,5,24,C
241,1,1,17,B
242,7,3,29,B
243,6,2,15,C
244,6,8,18,C
245,4,2,4,B
246,7,5,1,B
247,4,7,18,C
248,6,1,7,C
249,9,4,9,A
250,4,2,23,B
251,6,5,10,C
252,3,5,20,B
253,4,1,5,C
254,9,5,16,C
255,6,1,4,A
256,1,1,19,B
257,6,3,9,A
258,1,1,13,C
259,3,9,10,B
260,3,4,19,C
261,7,2,17,A
262,4,2,29,B
263,9,5,29,C
264,4,6,28,A
265,5,8,7,B
266,7,4,24,A
267,5,6,3,A
268,9,8,27,B
269,1,3,12,B
270,4,8,5,A
271,1,9,16,A
272,4,2,18,B
273,8,2,28,B
274,1,4,4,A
275,3,4,5,A
276,9,1,16,A
277,2,5,11,A
278,7,7,26,A
279,3,1,11,A
280,1,7,16,C
281,1,2,20,B
282,8,4,22,A
283,1,6,2,A
284,7,1,26,A
285,4,1,21,B
286,9,7,20,B
287,4,1,10,C
288,3,5,1,A
289,8,4,4,C
290,7,9,14,A
291,4,8,27,A
292,7,2,23,A
293,2,1,25,B
294,7,5,27,B
295,9,3,5,B
296,6,8,13,A
297,1,2,17,A
298,3,8,7,C
299,9,1,20,B
300,4,6,11,B
301,4,3,22,C
302,3,8,18,B
303,8,2,22,A
304,1,8,22,A
305,5,1,9,C
306,8,4,15,C
307,8,5,17,A
308,9,9,25,C
309,6,9,16,A
310,9,5,19,A
311,4,9,15,A
312,5,4,25,B
313,2,2,2,A
314,1,4,4,C
315,6,8,20,A
316,7,7,15,C
317,7,2,8,A
318,9,7,7,C
319,4,4,10,A
320,3,8,28,A
321,1,2,24,B
322,1,3,4,C
323,1,7,1,B
324,4,5,13,A
325,9,9,22,C
326,3,5,24,C
327,4,4,2,B
328,9,5,9,C
329,4,8,21,A
330,6,9,23,A
331,6,3,3,C
332,2,5,6,B
333,4,3,19,C
334,8,7,27,B
335,7,9,26,A
336,7,8,19,A
337,1,1,23,B
338,7,6,14,C
339,8,8,27,C
340,6,5,23,B
341,2,6,2,C
342,1,7,26,C
343,9,3,20,A
344,1,4,5,A
345,8,3,11,A
346,6,3,13,B
347,7,6,9,C
348,2,6,14,B
349,6,8,21,A
350,4,6,12,A
351,8,8,21,A
352,9,7,12,C
353,1,3,25,B
354,8,8,15,A
355,4,8,22,C
356,9,9,6,C
357,2,2,1,C
358,6,4,18,B
359,9,7,15,B
360,5,5,22,A
361,9,4,7,C
362,3,4,15,A
363,8,4,18,C
364,4,3,26,B
365,9,8,25,C
366,2,3,16,A
367,6,3,12,B
368,7,3,16,A
369,7,6,7,C
370,4,4,15,C
371,5,9,8,A
372,2,6,5,B
373,9,5,3,B
374,4,6,18,B
375,7,3,16,A
376,2,8,9,A
377,4,4,12,C
378,2,2,6,B
379,9,5,14,A
380,3,2,22,A
381,4,9,19,B
382,1,7,28,A
383,5,5,26,A
384,2,6,1,B
385,5,9,15,A
386,6,8,10,C
387,1,4,22,C
388,3,3,27,A
389,2,1,26,B
390,4,2,23,C
391,4,2,2,A
392,9,1,10,B
393,5,2,24,C
394,1,4,3,C
395,5,7,20,A
396,7,5,24,C
397,4,2,24,A
398,4,7,26,A
399,9,3,11,B
400,9,1,3,A
401,1,8,19,C
402,8,6,1,A
403,2,2,29,C
404,9,7,9,C
405,9,5,15,A
406,3,2,11,A
407,6,5,9,A
408,3,3,24,C
409,8,9,9,C
410,6,8,24,A
411,3,4,22,B
412,4,9,1,A
413,6,9,26,A
414,8,2,21,B
415,2,7,13,A
416,7,7,7,C
417,3,3,11,C
418,6,4,15,B
419,2,2,2,B
420,7,1,6,C
421,2,3,13,C
422,5,5,26,C
423,4,5,15,B
424,2,7,25,A
425,4,1,20,C
426,5,6,17,A
427,3,3,4,A
428,2,9,15,B
429,7,8,8,A
430,4,4,16,C
431,5,3,1,A
432,3,2,9,C
433,5,6,22,A
434,1,6,14,C
435,7,9,10,C
436,6,5,12,C
437,1,1,8,A
438,9,3,18,C
439,2,7,25,C
440,1,7,2,C
441,2,4,6,C
442,5,8,15,B
443,8,5,6,B
444,6,6,11,A
445,1,1,1,B
446,3,7,13,B
447,1,5,16,A
448,5,5,18,A
449,2,3,29,A
450,4,6,15,A
451,2,1,17,B
452,4,1,21,B
453,7,1,17,B
454,5,7,28,A
455,9,8,26,C
456,4,7,25,A
457,3,8,18,A
458,8,8,15,A
459,6,6,24,A
460,2,7,27,A
461,9,2,20,A
462,6,6,6,A
463,5,5,11,C
464,5,5,28,C
465,9,2,29,C
466,1,2,25,A
467,3,1,6,A
468,5,2,6,B
469,5,7,28,B
470,4,8,22,C
471,3,4,7,A
472,2,3,5,C
473,8,5,13,B
474,5,7,14,C
475,2,3,22,B
476,1,7,10,B
477,1,3,29,B
478,8,2,11,A
479,4,4,2,B
480,9,4,6,C
481,2,9,19,C
482,3,3,10,B
483,8,4,13,A
484,9,2,28,A
485,5,4,21,B
486,6,2,10,C
487,9,4,16,B
488,8,6,27,A
489,3,8,29,A
490,7,3,14,A
491,3,6,17,A
492,3,7,26,A
493,9,4,28,C
494,8,7,2,A
495,8,4,18,A
496,5,3,4,B
497,8,5,13,B
498,5,3,8,A
499,2,6,13,C
